[GIN] 2020/10/19 - 16:29:38 | 200 |     135.957µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css"
[GIN] 2020/10/19 - 16:29:38 | 200 |      54.556µs |             ::1 | GET      "/static/assets/dist/css/dashboard.css"
[GIN] 2020/10/19 - 16:29:38 | 200 |      58.166µs |             ::1 | GET      "/static/assets/dist/css/slidecontainer.css"
[GIN] 2020/10/19 - 16:29:38 | 200 |      41.003µs |             ::1 | GET      "/static/assets/dist/css/slider.css"
[GIN] 2020/10/19 - 16:29:38 | 200 |     291.838µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js"
[GIN] 2020/10/19 - 16:29:38 | 200 |     264.045µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js"
[GIN] 2020/10/19 - 16:29:38 | 200 |      89.077µs |             ::1 | GET      "/static/assets/dist/js/dashboard.js"
[GIN] 2020/10/19 - 16:29:38 | 200 |      80.778µs |             ::1 | GET      "/static/assets/dist/js/delivery-semantics.js"
[GIN] 2020/10/19 - 16:29:38 | 200 |      63.709µs |             ::1 | GET      "/static/assets/brand/bootstrap-solid.svg"
[GIN] 2020/10/19 - 16:29:42 | 200 |   58.507939ms |             ::1 | POST     "/login"
[GIN] 2020/10/19 - 16:29:42 | 200 |     254.005µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:29:56 | 200 |    2.993229ms |             ::1 | GET      "/publishPage"
[GIN] 2020/10/19 - 16:29:57 | 200 |    4.900801ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:30:00 | 200 |    2.227525ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:30:00 | 200 |     241.432µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:30:10 | 200 |    4.768415ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:30:13 | 200 |   11.400822ms |             ::1 | POST     "/editSubscription"
[GIN] 2020/10/19 - 16:30:16 | 200 |    4.797364ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:30:16 | 200 |    2.474394ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:30:17 | 200 |     521.898µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:30:17 | 200 |    3.353558ms |             ::1 | GET      "/publishPage"
[GIN] 2020/10/19 - 16:30:21 | 200 |    2.747059ms |             ::1 | GET      "/"
[GIN] 2020/10/19 - 16:30:21 | 200 |     181.816µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:30:32 | 200 |    2.451459ms |             ::1 | GET      "/"
[GIN] 2020/10/19 - 16:30:33 | 200 |     196.962µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:30:48 | 200 |    1.268924ms |             ::1 | GET      "/"
[GIN] 2020/10/19 - 16:30:48 | 404 |         258ns |             ::1 | GET      "/favicon.ico"
[GIN] 2020/10/19 - 16:40:04 | 200 |   58.588623ms |             ::1 | POST     "/login"
[GIN] 2020/10/19 - 16:40:05 | 200 |    6.066349ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:40:16 | 200 |    8.239526ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:40:17 | 200 |     753.863µs |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:40:18 | 200 |    1.630875ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:40:25 | 200 |    5.174731ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:40:26 | 200 |    2.884355ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:40:28 | 200 |    5.052732ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:40:48 | 200 |    2.055933ms |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:40:48 | 200 |    1.993125ms |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:40:48 | 200 |    1.347462ms |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:42:15 | 200 |    1.922718ms |             ::1 | GET      "/subscriptionPage"
